model	num_params	ave roc	ave pr
cnn_2	160048	0.968$\pm$0.028	0.880$\pm$0.111
cnn_4	160048	0.952$\pm$0.056	0.855$\pm$0.145
cnn_10	160048	0.970$\pm$0.038	0.888$\pm$0.115
cnn_25	160048	0.954$\pm$0.094	0.873$\pm$0.171
cnn_50	160048	0.965$\pm$0.040	0.871$\pm$0.125
cnn_100	160048	0.961$\pm$0.042	0.862$\pm$0.129
cnn_50_2	25712	0.917$\pm$0.136	0.804$\pm$0.251
cnn9_4	158848	0.958$\pm$0.039	0.858$\pm$0.125
cnn9_25	158848	0.961$\pm$0.038	0.858$\pm$0.114
cnn3_2	158128	0.968$\pm$0.027	0.876$\pm$0.111
cnn3_50	158128	0.652$\pm$0.060	0.247$\pm$0.053
